N; tau; segNum; amp; detuning
2; 150; 10; (np.array([-0.45569536,  0.33143579,  0.49890812,  0.2164989 , -0.48389924,       -0.48990122,  0.25164541,  0.47194069,  0.3356432 , -0.45946659]), np.array([-0.45569536,  0.33143579,  0.49890812,  0.2164989 , -0.48389924,       -0.48990122,  0.25164541,  0.47194069,  0.3356432 , -0.45946659])); [-0.03815759911898109, 0.03815759911898109]
3; 270; 18; (np.array([ 0.28218359, -0.46189198, -0.36263391,  0.16227153,  0.35075453,       -0.12838771, -0.4286181 ,  0.03945031,  0.47857103,  0.47920958,        0.0418837 , -0.43287413, -0.12678631,  0.35157918,  0.16160462,       -0.36329819, -0.46135331,  0.28236369]), np.array([ 0.28218359, -0.46189198, -0.36263391,  0.16227153,  0.35075453,       -0.12838771, -0.4286181 ,  0.03945031,  0.47857103,  0.47920958,        0.0418837 , -0.43287413, -0.12678631,  0.35157918,  0.16160462,       -0.36329819, -0.46135331,  0.28236369])); [-0.06122796937035835, 0.006925511717484234, 0.05430245765287367]
4; 300; 20; (np.array([-0.15550164,  0.46639642,  0.08281191, -0.48285458,  0.05913716,        0.41820381,  0.14779408, -0.41967482, -0.15077694,  0.4426676 ,        0.44026042, -0.15532397, -0.41581523,  0.13553533,  0.43752427,        0.04780007, -0.48600943,  0.08547234,  0.47703666, -0.1665221 ]), np.array([-0.15550164,  0.46639642,  0.08281191, -0.48285458,  0.05913716,        0.41820381,  0.14779408, -0.41967482, -0.15077694,  0.4426676 ,        0.44026042, -0.15532397, -0.41581523,  0.13553533,  0.43752427,        0.04780007, -0.48600943,  0.08547234,  0.47703666, -0.1665221 ])); [-0.0708190100385826, -0.02292112533574997, 0.030611108082306604, 0.06312902729202641]
5; 300; 20; (np.array([ 0.33184854, -0.23232584, -0.29780517,  0.48345132,  0.21763605,       -0.48035984, -0.18339669,  0.30327682,  0.33461954, -0.46821497,       -0.46830581,  0.33453516,  0.30329572, -0.18625594, -0.47128158,        0.20521573,  0.49148723, -0.2987575 , -0.23430961,  0.33283387]), np.array([ 0.33184854, -0.23232584, -0.29780517,  0.48345132,  0.21763605,       -0.48035984, -0.18339669,  0.30327682,  0.33461954, -0.46821497,       -0.46830581,  0.33453516,  0.30329572, -0.18625594, -0.47128158,        0.20521573,  0.49148723, -0.2987575 , -0.23430961,  0.33283387])); [-0.07502443429270178, -0.04082785333594163, 0.0023495829042432526, 0.04482537538365161, 0.06867732934074944]
6; 375; 25; (np.array([-0.34751793,  0.11425562,  0.2698071 , -0.30788367, -0.35184958,        0.30797747,  0.32254239, -0.23901814, -0.41638543,  0.14980675,        0.32779608, -0.19521017, -0.49811653, -0.21134101,  0.34124745,        0.14431369, -0.40785839, -0.24648783,  0.31517603,  0.32130218,       -0.34355879, -0.34486861,  0.31140689,  0.09043613, -0.34125917]), np.array([-0.34751793,  0.11425562,  0.2698071 , -0.30788367, -0.35184958,        0.30797747,  0.32254239, -0.23901814, -0.41638543,  0.14980675,        0.32779608, -0.19521017, -0.49811653, -0.21134101,  0.34124745,        0.14431369, -0.40785839, -0.24648783,  0.31517603,  0.32130218,       -0.34355879, -0.34486861,  0.31140689,  0.09043613, -0.34125917]));[-0.07693479044618146, -0.05161047501954963, -0.017845263494913777, 0.019755084132926815, 0.05415220664566256, 0.07248323818205638]
7; 480; 32; (np.array([ 0.04379859,  0.49625337,  0.01849594, -0.35106147,  0.49355544,        0.47122414, -0.24466995, -0.49531445,  0.35301527,  0.48718601,       -0.25521831, -0.49376986,  0.01168185,  0.32487363, -0.48940861,       -0.38901476, -0.38051236, -0.4515596 ,  0.32557071, -0.02052187,       -0.49364462, -0.21199222,  0.49512819,  0.31095352, -0.49149233,       -0.22742697,  0.48974647,  0.49484588, -0.40346407,  0.0707455 ,        0.49251268,  0.02274026]), np.array([ 0.04379859,  0.49625337,  0.01849594, -0.35106147,  0.49355544,        0.47122414, -0.24466995, -0.49531445,  0.35301527,  0.48718601,       -0.25521831, -0.49376986,  0.01168185,  0.32487363, -0.48940861,       -0.38901476, -0.38051236, -0.4515596 ,  0.32557071, -0.02052187,       -0.49364462, -0.21199222,  0.49512819,  0.31095352, -0.49149233,       -0.22742697,  0.48974647,  0.49484588, -0.40346407,  0.0707455 ,        0.49251268,  0.02274026])); [-0.0777779064589681, -0.05838350563113304, -0.03170941768003699, -0.00031526547903393265, 0.032258762321342616, 0.06067271184280809, 0.0752546210850209]
8; 540; 36; (np.array([ 0.07019082, -0.49076126,  0.23618202,  0.14067786, -0.38307187,       -0.23376104,  0.24246515,  0.21165108, -0.22494944, -0.2761921 ,        0.11581848,  0.3624914 , -0.07792837, -0.39614091, -0.01420971,        0.19486383, -0.05056272, -0.36195205, -0.35544446, -0.04067205,        0.19477005, -0.02102349, -0.39609887, -0.06869584,  0.36746505,        0.1084686 , -0.28415935, -0.22047167,  0.2203202 ,  0.24277983,       -0.25208547, -0.38335684,  0.16620235,  0.21528967, -0.49121473,        0.07920357]), np.array([ 0.07019082, -0.49076126,  0.23618202,  0.14067786, -0.38307187,       -0.23376104,  0.24246515,  0.21165108, -0.22494944, -0.2761921 ,        0.11581848,  0.3624914 , -0.07792837, -0.39614091, -0.01420971,        0.19486383, -0.05056272, -0.36195205, -0.35544446, -0.04067205,        0.19477005, -0.02102349, -0.39609887, -0.06869584,  0.36746505,        0.1084686 , -0.28415935, -0.22047167,  0.2203202 ,  0.24277983,       -0.25208547, -0.38335684,  0.16620235,  0.21528967, -0.49121473,        0.07920357])); [-0.07809267856151614, -0.06281264985233781, -0.04137795733312721, -0.015338983563854214, 0.013241328054158341, 0.04156711267686175, 0.06545162178505803, 0.07736220679475947]
9; 540; 36; (np.array([-0.27640709,  0.43504785, -0.26838857, -0.12728004, -0.03835131,        0.41174001, -0.24645903, -0.25182534,  0.19595285,  0.12342146,        0.03165413, -0.21680357, -0.09820576,  0.17239171,  0.35860717,       -0.34992052, -0.23054727,  0.36167404,  0.34942343, -0.22203987,       -0.33210593,  0.31528481,  0.2010685 , -0.08913893, -0.23560462,        0.02840175,  0.14541573,  0.17198603, -0.23468085, -0.24787995,        0.39238824, -0.01209467, -0.13938167, -0.27283382,  0.44293822,       -0.27945328]), np.array([-0.27640709,  0.43504785, -0.26838857, -0.12728004, -0.03835131,        0.41174001, -0.24645903, -0.25182534,  0.19595285,  0.12342146,        0.03165413, -0.21680357, -0.09820576,  0.17239171,  0.35860717,       -0.34992052, -0.23054727,  0.36167404,  0.34942343, -0.22203987,       -0.33210593,  0.31528481,  0.2010685 , -0.08913893, -0.23560462,        0.02840175,  0.14541573,  0.17198603, -0.23468085, -0.24787995,        0.39238824, -0.01209467, -0.13938167, -0.27283382,  0.44293822,       -0.27945328])); [-0.0781351436362403, -0.06580989563352846, -0.04828400992063431, -0.026557767635716267, -0.0019305614937881188, 0.02390993541670694, 0.048704617351931656, 0.069084126630238, 0.07901869892102731]
10; 570; 38;(np.array([ 0.18774204, -0.48579456,  0.49156873,  0.05098109, -0.4608344 ,        0.12763047,  0.36140965, -0.13623422, -0.31811031,  0.11305359,        0.29500382, -0.08970357, -0.22903922, -0.00737221,  0.20263156,        0.1197006 , -0.22179476, -0.13929337,  0.19758766,  0.20390548,       -0.13149214, -0.22797474,  0.10784931,  0.21080996,  0.02096564,       -0.28213723, -0.05927541,  0.3044059 ,  0.09822183, -0.33020325,       -0.10963558,  0.35074621,  0.11825078, -0.45113835,  0.05299187,        0.48362397, -0.48052198,  0.18639687]), np.array([ 0.18774204, -0.48579456,  0.49156873,  0.05098109, -0.4608344 ,        0.12763047,  0.36140965, -0.13623422, -0.31811031,  0.11305359,        0.29500382, -0.08970357, -0.22903922, -0.00737221,  0.20263156,        0.1197006 , -0.22179476, -0.13929337,  0.19758766,  0.20390548,       -0.13149214, -0.22797474,  0.10784931,  0.21080996,  0.02096564,       -0.28213723, -0.05927541,  0.3044059 ,  0.09822183, -0.33020325,       -0.10963558,  0.35074621,  0.11825078, -0.45113835,  0.05299187,        0.48362397, -0.48052198,  0.18639687])); [-0.07803489589483048, -0.0678957710976924, -0.053336699964738, -0.03503381584309073, -0.013853550911083534, 0.009108424675877469, 0.032451331160158414, 0.05431381218583553, 0.07192638301245635, 0.08035478267711094]
11; 720; 48; (np.array([-0.25574993, -0.17784622,  0.07736863, -0.25858607, -0.42996033,       -0.08849139,  0.14589185, -0.1046859 , -0.33082559, -0.07802706,        0.25539255,  0.11372041, -0.25500281, -0.20860816,  0.19718517,        0.27762622, -0.12797313, -0.33961172,  0.0437516 ,  0.41678438,        0.15597989, -0.17194677,  0.1325982 ,  0.4989267 ,  0.49890379,        0.13359873, -0.17149098,  0.15545309,  0.41660599,  0.04464913,       -0.3388795 , -0.12855041,  0.27671094,  0.1974144 , -0.2076096 ,       -0.25473803,  0.11271459,  0.25472173, -0.07691975, -0.32958423,       -0.105398  ,  0.1445062 , -0.08765621, -0.42764866, -0.25939116,        0.0733    , -0.17252149, -0.25871771]), np.array([-0.25574993, -0.17784622,  0.07736863, -0.25858607, -0.42996033,       -0.08849139,  0.14589185, -0.1046859 , -0.33082559, -0.07802706,        0.25539255,  0.11372041, -0.25500281, -0.20860816,  0.19718517,        0.27762622, -0.12797313, -0.33961172,  0.0437516 ,  0.41678438,        0.15597989, -0.17194677,  0.1325982 ,  0.4989267 ,  0.49890379,        0.13359873, -0.17149098,  0.15545309,  0.41660599,  0.04464913,       -0.3388795 , -0.12855041,  0.27671094,  0.1974144 , -0.2076096 ,       -0.25473803,  0.11271459,  0.25472173, -0.07691975, -0.32958423,       -0.105398  ,  0.1445062 , -0.08765621, -0.42764866, -0.25939116,        0.0733    , -0.17252149, -0.25871771])); [-0.07786067674400865, -0.06938079314042556, -0.05711464365207819, -0.04153677050791771, -0.023249186572164682, -0.003002125398428035, 0.018273332754501492, 0.03939845805860198, 0.05881393810781743, 0.07420331796536894, 0.08145514912873164]
12; 780; 52; (np.array([-0.31514341, -0.01902387, -0.02213245, -0.33928129, -0.32623988,       -0.03880028,  0.0421849 , -0.18973416, -0.26135785, -0.00179815,        0.18672084,  0.01173419, -0.21922742, -0.10372762,  0.18351226,        0.18007895, -0.13299384, -0.24008252,  0.06526553,  0.30417359,        0.04321328, -0.35775733, -0.23227128,  0.21491437,  0.00788675,       -0.49603711, -0.49616742, -0.00192124,  0.22837461, -0.23733594,       -0.35940871,  0.04408637,  0.30528289,  0.06534934, -0.24061715,       -0.13349159,  0.17978514,  0.18526645, -0.10460323, -0.21980335,        0.01182086,  0.18697713, -0.00153228, -0.26119561, -0.19052415,        0.03926036, -0.03100175, -0.33301543, -0.34019677, -0.01525507,       -0.02499017, -0.31278729]), np.array([-0.31514341, -0.01902387, -0.02213245, -0.33928129, -0.32623988,       -0.03880028,  0.0421849 , -0.18973416, -0.26135785, -0.00179815,        0.18672084,  0.01173419, -0.21922742, -0.10372762,  0.18351226,        0.18007895, -0.13299384, -0.24008252,  0.06526553,  0.30417359,        0.04321328, -0.35775733, -0.23227128,  0.21491437,  0.00788675,       -0.49603711, -0.49616742, -0.00192124,  0.22837461, -0.23733594,       -0.35940871,  0.04408637,  0.30528289,  0.06534934, -0.24061715,       -0.13349159,  0.17978514,  0.18526645, -0.10460323, -0.21980335,        0.01182086,  0.18697713, -0.00153228, -0.26119561, -0.19052415,        0.03926036, -0.03100175, -0.33301543, -0.34019677, -0.01525507,       -0.02499017, -0.31278729]));[-0.07765022970974167, -0.07045753221095064, -0.05999426055503099, -0.04660376052100634, -0.030718518811064133, -0.012871935696570524, 0.006284791975927462, 0.025953395069473917, 0.045129488942709184, 0.062488149652205394, 0.07606333284425659, 0.08237707901979396]